category,comments,hotness,link,percentage_change_in_price,place_of_bargain_price,price_after_discount,price_before_discount,title,username
"Home,Ogród i majsterkowanie,Ogród,Baseny",11,202,,-40%,Allegro,"189,99zł",319zł,Allegro Days: Basen stelażowy Bestway Safari 305x66cm,
"Home,Artykuły spożywcze,Jedzenie",18,196,,-21%,Kaufland,"0,26zł","0,33zł",Bułka Kajzerka po 26 groszy @Kaufland 4+1 GRATIS,
"Home,Różne,Supermarket",20,308,,-1,Biedronka,"0,99zł",-1,Wyprzedaż wybranych słodyczy wielkanocnych Magnetic np Jajka czekoladowe w Torbie 176g za 1.99zł@ Biedronka,
"Home,Usługi i subskrypcje,Szkolenia i kursy",17,564,,-1,place_of_bargain_price_not_available,-1,-1,Bezpłatny webinar/szkolenie on-line: Agresja lękowa - jak pomóc psu rozwiązać ten problem?,
"Home,Ogród i majsterkowanie,Narzędzia",21,234,,-32%,Allegro,299zł,440zł,Zestaw kluczy nasadowych Yato YT-38841 216 elementów,
"Home,Zdrowie i uroda,Erotyka,Zabawki erotyczne",136,211,,-1,AliExpress,"224,99zł",-1,Męski masturbator ładowany przez USB,
"Home,Gaming,Xbox",122,1304,,-1,Eneba,"131,49zł",-1,12 miesięcy Xbox Live Gold (bez VPN! konwersja na Game Pass Ultimate) @ Eneba,
"Home,Gaming,Xbox",15,286,,-1,Game Expert,99zł,-1,KONTROLER NOŻNY 3DRUDDER PLAYSTATION VR/Xbox/PC,
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Procesory,Procesory AMD",28,340,,-14%,Amazon.es,781zł,913zł,"Procesor AMD Ryzen 5800X z Hiszpańskiego Amazona za 169.99 Euro plus wysyłka 4,17€",
"Home,Podróże,Bilety kolejowe i autobusowe",1,382,,-1,place_of_bargain_price_not_available,ZA DARMO,"3,80zł",Świnoujście – Bądźmy razem – bezpłatny przejazd autobusami na trasie Dworzec PKP – plaża przy podziemnym mieście,
"Home,Elektronika,Oprogramowanie i aplikacje,Oprogramowanie,Aplikacje,Aplikacje do tworzenia muzyki",5,208,,-1,Ghosthack.de,-1,-1,Darmowe Sample - Ghosthack - Ultimate Freebie Collection (1.95gb),
"Home,Różne,Supermarket",19,1139,,-40%,Lidl,"2,99zł","4,99zł","Serek wiejski naturalny/lekki - 2,99 zł/op. 500g (5,98 zł/kg) @Lidl",
"Home,Elektronika,Audio i HiFi,Słuchawki",24,199,,-1,AliExpress,"381,77zł",-1,"Słuchawki planarne Hifiman HE400se $87.3 (381,77 zł)",
"Home,Motoryzacja,Akcesoria samochodowe",40,205,,-1,Allegro,"7,99zł",-1,Odświeżacz do klimatyzacji Autoland 200ml,
"Home,Zdrowie i uroda,Higiena i pielęgnacja,Higiena jamy ustnej,Szczoteczki",31,255,,-19%,Allegro,"59,99zł","73,99zł",Szczoteczka soniczna Berdsen Sonica B5 + dwie końcówki,
"Home,Za darmo",17,531,,-1,place_of_bargain_price_not_available,-1,-1,Darmowe półkolonie dla 108 dzieci z gminy Białe Błota,
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Obudowy komputerowe",32,418,,-20%,ProLine,299zł,372zł,Obudowa be quiet! Pure Base 500 BG034,
"Home,Elektronika,Akcesoria komputerowe",22,313,,-37%,Amazon.pl,"87,29zł","139,57zł","Usoun Stojak pod laptopa, regulowana podstawka pod notebooka, ergonomiczny stojak na biurko, regulowany, kompatybilny z laptopami 10-17""",
"Home,Moda,Obuwie,Sandały",7,307,,-33%,Decathlon,"59,99zł","89,99zł",Sandały turystyczne dla dzieci Quechua MH120 z darmową dostawą - r. 28 - 39 @Decathlon,
"Home,Artykuły spożywcze,Napoje,Piwo",29,538,,-1,Dino,"1,75zł",-1,"Piwo Browarne Pils 0,5l - przy zakupie 20 sztuk dodatkowo Zamkowe po 2,19",
"Home,Moda,Obuwie",20,491,,-1,eobuwie,-1,-1,-20% dodatkowo na buty ASICS z kuponem TANIEJ20 @ eobuwie.pl,
"Home,Za darmo",7,205,,-1,place_of_bargain_price_not_available,-1,-1,"Native Instruments, Kontakt: IRLANDZKA HARFA vst za free!",
"Home,Internet i usługi telekomunikacyjne,Oferty komórkowe",20,271,,-1,Orange,-1,-1,Orange na kartę - 20GB za darmo na 20 dni,
"Home,Kultura i rozrywka,Książki i czasopisma,Książki,Audiobooki",31,277,,-1,BookBeat,-1,-1,50 dni z audiobookami za darmo,
"Home,Ogród i majsterkowanie,Ogród",38,220,,-1,Einhell,169zł,-1,"PODKASZARKA Einhell GC-CT 18/24 Li P (2,5Ah ZS)",
"Home,Moda,Odzież,Koszulki",19,293,,-1,Zalando,37zł,-1,Koszulki YOURTURN - 2 PACK UNISEX,
"Home,Moda,Akcesoria modowe,Zegarki",19,226,,-8%,Allegro,"961,28zł",1.049zł,Zegarek Casio G-Shock GW-9400-1ER,
"Home,Artykuły spożywcze,Napoje,Alkohole,Wina",7,496,,-1,Delikatesy Centrum,-1,-1,Delikatesy Centrum: 3+2 wina za 2 zł (z Delikartą),
"Home,Podróże,Loty,Linie lotnicze",21,207,,-1,Rainbow,299zł,-1,Lot czarterowy na Kretę - Heraklion z Poznania za 299 zł,
"Home,Elektronika,Telefony i smartfony,Smartfony",20,309,,-40%,Empik,43zł,72zł,Etui Spigen do Pixel 6 i 6 pro,
"Home,Artykuły spożywcze,Napoje,Piwo",22,211,,-1,Biedronka,-1,-1,Piwo Carlsberg w Biedronce 10+10 gratis z kartą MB,
"Home,Różne,Supermarket",9,514,,-1,ALDI,-1,-1,Otwarcie Aldi Płońsk - bon o wartości 100zł za wydane 100zł,
"Home,Różne,Cashback",26,206,,-1,place_of_bargain_price_not_available,438zł,-1,NordVPN 27 miesięcy za darmo (cashback 100%),
"Home,Sport i turystyka",20,295,,-1,Amazon.pl,"71,97zł",-1,Garnek piknikowy- zestaw,
"Home,Dom i mieszkanie,Małe AGD do kuchni,Czajniki",21,228,,-40%,Allegro,119zł,199zł,Czajnik elektryczny retro Berdsen,
"Home,Elektronika,Komputery i tablety,Akcesoria i gadżety,Ładowarki",19,258,,-1,Amazon.pl,"117,74zł",-1,"Baseus Szybka ładowarka USB C 65 W, PD GaN3 Fast Wall Block, 4-portowa [2USB-C + 2USB] i inne",
"Home,Elektronika,Philips",46,437,,-24%,TechLord,"149,25zł",196zł,Listwa przeciwprzepięciowa Philips SPN7060WA/60 2m biała - 6 gniazd 4x USB-A 1x USB-C @ Techlord,
"Home,Artykuły spożywcze,Jedzenie,Owoce i warzywa,Owoce",19,248,,-75%,Lidl,"2,50zł","9,99zł",Owoce liofilizowane 30 g Lidl,
"Home,Sport i turystyka,Camping,Latarki",54,645,,-1,Banggood,"56,42zł",-1,"Latarka Convoy S2+ (SST20, 4000/5000/6500K), $13,50 @ Banggood",
"Home,Artykuły spożywcze,Napoje,Alkohole,Wina",20,252,,-15%,Allegro,"55,99zł","65,99zł",Gąsior na wino 5l 4 sztuki,
"Home,Dom i mieszkanie,Meble",24,191,,-38%,Allegro,599zł,"959,40zł",Łóżko podwójne AJKmeble Panama 140x200 biały,
"Home,Gaming,Gry wideo,Red Dead Redemption,Red Dead Redemption 2",96,1174,,-79%,PSN Store,"5,10zł","24,80zł","Zbiór okazji w Tureckim i Polskim PS Store (24.05 - 07.06) - A Way Out, Metro, Red Dead Redemption 2, DOOM, Unravel, LEGO... [PS4, PS5]",
"Home,Sport i turystyka,Sporty rowerowe i miejskie,Sporty rowerowe,Rowery",38,381,,-33%,Centrum Rowerowe,1.999zł,2.990zł,Rower MTB R-RAYMON HardRay Nine 2.0,
"Home,Artykuły spożywcze,Jedzenie,Lody",15,412,,-1,Żabka,-1,-1,"Drugie lody Carte d'or, Magnum, BigMilk, Ben&Jerry's za 1zł.",
"Home,Artykuły spożywcze,Jedzenie,Owoce i warzywa,Owoce",20,855,,-67%,Biedronka,"1,99zł","5,99zł",Arbuz na wagę 1kg @Biedronka,
"Home,Gaming,Xbox",8,391,,-21%,Microsoft,182zł,"231,20zł",Xbox Wireless Controller - Robot White z Brytyjskiego Xbox Store za 182 zł / przy płatności Gift Card wychodzi ~ 178 zł,
"Home,Gaming,Xbox",64,1316,,-24%,Microsoft,"176,07zł",231zł,"Kontroler bezprzewodowy Xbox - Velocity Green, Deep Pink, Carbon Black, Shock Blue, Pulse Red, Electric Volt po 176 zł - płatność gift cards",
"Home,Moda,Odzież,Spodnie",14,356,,-1,Action,"36,95zł",-1,Spodenki jeansowe rozmiary M-XL,
"Home,Elektronika",30,442,,-7%,Ceneo,559zł,599zł,Dysk SSD KINGSTON KC3000 2TB,
"Home,Gaming,Gry wideo,Diablo IV",122,203,,-1,Neonet,299zł,-1,Gra Diablo IV PS5 / XBOX,
"Home,Moda,Odzież,Bielizna,Bokserki",21,273,,-30%,Zalando,89zł,127zł,Bokserki Ellesse MAYRA 5 szt. - Rozmiary S-XXL,
"Home,Elektronika,Telefony i smartfony,Smartfony",65,368,,-1,Allegro,"1.880,78zł",-1,Smartfon Xiaomi Pocophone F5 12 GB / 256 GB czarny,
"Home,Dom i mieszkanie",27,498,,-25%,Amazon.pl,"59,99zł","79,99zł","Fajna półeczka narożna, cena z Prime 59,99 PLN (-25%)",
"Home,Elektronika,TV i wideo,TV,Telewizory Philips",20,207,,-8%,x-kom,1.799zł,1.949zł,"Telewizor PHILIPS 50PUS7956 (Ambilight, 4k, Android TV)",
"Home,Motoryzacja",20,357,,-1,Santander,-1,-1,"Zwrot za dwa przejazdy autostradą A1, A4 z aplikacją mobilną Santander Autopay",
"Home,Gaming,Akcesoria dla graczy,Gamepady,Pady do Xbox",46,1197,,-1,Eneba,141zł,-1,Pad Xbox - Robot White za 141zł / kolorowe po ok. 163zł - płacąc Gift Card z MS Store UK,
"Home,Moda,Obuwie",86,1191,,-1,Amazon.pl,"229,99zł",-1,Buty męskie Adidas Terrex Swift Solo 2 • 38; 42; 43 1/3; 44; 46,
"Home,Artykuły spożywcze,Jedzenie,Owoce i warzywa,Owoce",13,684,,-43%,Biedronka,"3,99zł","6,99zł",Banany kg @Biedronka,
"Home,Moda,Obuwie",21,869,,-1,Decathlon,-1,-1,Bezplatna dostawa bez mwz Decathlon,
"Home,Elektronika,Samsung",31,647,,-1,MediaMarkt,"0,99zł",-1,"Etui Samsung po 0.99zł (S21/22, Note20, M 11/12/21/22, A10/12/13/22/31/32/42)",
"Home,Artykuły spożywcze",9,340,,-1,Biedronka,"2,99zł",-1,"Pierniki w czekoladzie 2,99 zł w Biedronce",
"Home,Rodzina i dzieci,Pielęgnacja dzieci",19,273,,-24%,PINKorBLUE,"276,21zł","364,08zł",Krzesełko do karmienia Roba Sit Up Flex za 276zł (sześć kolorów) @ Pink or Blue,
"Home,Moda,Akcesoria modowe,Bagaż,Plecaki",20,319,,-33%,Decathlon,"199,99zł","299,99zł",Plecak trekkingowy Forclaz Travel 100 - 60 litrów @Decathlon,
"Home,Zdrowie i uroda,Higiena i pielęgnacja",12,209,,-1,Action,"5,99zł",-1,Żel pod prysznic Umbro Action 300ml,
"Home,Artykuły spożywcze",12,373,,-34%,Lidl,"1,12zł","1,69zł",Woda mineralna Saguaro Magnez+wapń,
"Home,Gaming,Gry wideo,Steam",8,228,,-1,Steam,"3,59zł",-1,"Limbo za 3,59 zł i INSIDE + LIMBO za 9,70 zł @ Steam",
"Home,Artykuły spożywcze,Napoje",11,335,,-1,Żabka,"0,01zł","2,50zł",Kup wodę i złap gumę Orbit za 1 żappsa,
"Home,Różne,Supermarket",16,368,,-50%,Lidl,"9,99zł","19,99zł",Sekator kowadełkowy lub nożycowy Parkside. LIDL,
"Home,Podróże,Hotele",20,385,,-1,Itaka,1.329zł,-1,Czerwcowy urlop w Bułgarii: Złote Piaski i 4* hotel Atlas z ultra all inclusive @ Itaka,
"Home,Różne,Cashback",20,400,,-1,place_of_bargain_price_not_available,-1,-1,Sinsay w Letyshops - 45% cashback (max. 100 PLN),
"Home,Różne,Supermarket",17,313,,-50%,Kaufland,"0,99zł","1,99zł",Półbagietka wieloziarnista 1+1 GRATIS @Kaufland,
"Home,Gaming,Gry wideo,Kody i doładowania,Xbox Live Gold",29,433,,-1,Eneba,"24,26zł",-1,Assassin's Creed: Odyssey (Ultimate Edition) XBOX LIVE Key ARGENTINA VPN @ Xbox One,
category_not_available,-1,-1,,-1,place_of_bargain_price_not_available,-1,-1,title_not_available,
"Home,Ogród i majsterkowanie,Ogród,Pielęgnacja ogrodu,Kosiarki",8,199,,-25%,Castorama,298zł,398zł,Kosiarka elektryczna Performance Power 1200W w zestawie z podkaszarką (darmowy odbiór w sklepach) @ Castorama,
"Home,Różne,Supermarket",0,199,,-50%,Kaufland,3zł,6zł,K-Classic Słone przekąski mix 1+1 - Kaufland 250 g,
"Home,Gaming,Gry wideo,Kody i doładowania,Xbox Live Gold",53,268,,-1,Eneba,"23,09zł",-1,Shadow of the Tomb Raider (Definitive Edition) XBOX LIVE Key TURKEY VPN @ Gra Xbox One,
"Home,Gaming,Gry wideo,Kody i doładowania,Xbox Live Gold",5,241,,-1,Eneba,"19,78zł",-1,Assassin's Creed: Origins (Gold Edition) XBOX LIVE Key ARGENTINA VPN @ Xbox One,
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Karty graficzne",21,409,,-1,Sferis,909zł,-1,Karta graficzna Asrock Radeon RX 6600 Challenger D 8GB,
"Home,Moda,Obuwie,Buty Nike",19,312,,-1,Zalando,375zł,-1,Buty damskie Nike AIR MAX 270,
"Home,Moda,Obuwie,Sneakersy",31,205,,-44%,Zalando,290zł,519zł,adidas OZWEEGO - Sneakersy niskie szare,
"Home,Artykuły spożywcze,Jedzenie,Owoce i warzywa,Warzywa",3,257,,-1,ALDI,6zł,-1,Pomidory malinowe 1kg,
"Home,Elektronika,Akcesoria komputerowe,Myszki",20,320,,-38%,Komputronik,129zł,209zł,Myszka Logitech G305 Lightspeed Miętowa,
"Home,Artykuły spożywcze,Jedzenie,Owoce i warzywa,Owoce",31,215,,-36%,Market Jan,"8,99zł",14zł,Truskawki 1kg / 8.99 @Market Jan,
"Home,Moda,Obuwie",20,237,,-1,place_of_bargain_price_not_available,"116,99zł",-1,Męskie buty Asics,
"Home,Ogród i majsterkowanie",12,283,,-90%,Auchan,"3,09zł","30,99zł",Kora iglasta Sortowana PRIMO 80L (10-20),
"Home,Zdrowie i uroda,Perfumy",41,254,,-10%,Notino,"308,80zł","342,38zł",Woda toaletowa Armani Eau de Cèdre 100ml EDT dla mężczyzn Notino - czytaj opis!,
"Home,Moda,Obuwie,Buty New Balance",0,195,,-1,Zalando,119zł,-1,"Buty dziecięce New Balance 570 • 1 kolor • 18 rozmiarów między: 28 a 40 • 7 rozmiarów --> płatna dostawa: +4,99 zł",
"Home,Gaming,Gry wideo,Gry PC",32,246,,-74%,Xbox,"37,25zł","142,99zł",Halo: The Master Chief Collection (Gra PC lub Gra Xbox) - historycznie niska cena,
"Home,Artykuły spożywcze,Jedzenie,Słodycze",24,206,,-1,Allegro,"7,45zł",-1,"MM's Peanut orzeszki ziemne w czekoladzie, draże, cukierki, M&M's 220 g",
"Home,Artykuły spożywcze,Napoje,Alkohole,Alkohole mocne,Whisky",29,206,,-10%,Dino,"151,99zł","168,99zł","Whisky JOHNNIE WALKER BLACK LABEL 1,5L / 40% / 12YO DINO (101,33/l)",
"Home,Gaming,Gry wideo",5,207,,-1,place_of_bargain_price_not_available,ZA DARMO,25zł,Gra PC - So Much Stuff za darmo w IndieGala,
"Home,Moda,Odzież,Kurtki",26,582,,-1,Amazon.pl,"58,32zł",-1,Męska kurtka przeciwdeszczowa Regatta Pack It III + worek • M do XXL • darmowa dostawa dla Prime,
"Home,Sport i turystyka",53,207,,-1,Sportano,"494,99zł",-1,"Hantel regulowany 25,5kg",
"Home,Moda",4,205,,-1,HalfPrice,-1,-1,HalfPrice -50zł MWZ 200zł,
"Home,Elektronika,Komputery i tablety,Akcesoria i gadżety,Kable",57,206,,-1,AliExpress,"15,76zł",-1,Kabel Baseus 1m 240W USB-C PD3.1 | $3.76,
"Home,Moda,Odzież,Koszulki",44,323,,-1,Allegro,"18,85zł",-1,Najgrubsza Koszulka Adler Malfini Heavy XL,
"Home,Gaming,Gry wideo,Tomb Raider",26,199,,-26%,Gamivo,"18,62zł",25zł,Shadow of the Tomb Raider Definitive Edition - Turkey VPN @ Xbox One,
"Home,Elektronika,Komputery i tablety,Laptopy,MacBook,MacBook Air",25,238,,-19%,Amazon.pl,"5.934,15zł",7.299zł,Apple MacBook Air 15” M2 8/256 (wszystkie kolory) [przedsprzedaż] @ Amazon,
"Home,Artykuły spożywcze",3,202,,-1,Biedronka,"9,99zł",-1,"Mascarpone Sottile Gusto 500g(4,99zł/250g.)",
"Home,Elektronika,Telefony i smartfony,Smartfony,Smartfony Oppo",22,204,,-32%,Amazon UK,2.700zł,3.999zł,"Smartfon OPPO Find X5 Pro 5G - Smartphone 256GB, 12GB RAM, Dual Sim, Black - stan idealny - amazon.uk whd.",
